iter	Passed	Remaining
0	5	5851
1	11	5847
2	17	5703
3	22	5583
4	28	5586
5	33	5549
6	39	5558
7	44	5542
8	49	5477
9	55	5448
10	60	5414
11	65	5372
12	70	5359
13	76	5354
14	81	5336
15	87	5384
16	92	5374
17	98	5363
18	105	5422
19	111	5467
20	116	5450
21	122	5432
22	127	5404
23	132	5395
24	141	5510
25	147	5534
26	154	5552
27	159	5530
28	165	5530
29	170	5508
30	176	5507
31	181	5504
32	187	5486
33	192	5465
34	199	5489
35	205	5491
36	211	5515
37	217	5504
38	222	5485
39	227	5471
40	233	5450
41	238	5434
42	243	5421
43	248	5405
44	254	5391
45	259	5380
46	264	5363
47	269	5347
48	274	5333
49	279	5316
50	284	5301
51	290	5290
52	296	5302
53	303	5321
54	311	5348
55	318	5362
56	325	5380
57	331	5380
58	340	5433
59	346	5427
60	354	5461
61	370	5601
62	375	5592
63	381	5585
64	387	5570
65	392	5552
66	398	5549
67	403	5531
68	408	5515
69	414	5501
70	419	5487
71	424	5473
72	430	5462
73	435	5454
74	441	5441
75	446	5428
76	451	5416
77	457	5406
78	463	5398
79	468	5389
80	474	5380
81	479	5370
82	485	5362
83	491	5359
84	499	5374
85	504	5364
86	510	5356
87	516	5350
88	521	5340
89	527	5331
90	532	5322
91	538	5315
92	544	5305
93	549	5296
94	555	5294
95	561	5283
96	566	5272
97	571	5264
98	577	5254
99	582	5245
100	588	5241
101	595	5243
102	602	5249
103	609	5248
104	615	5242
105	620	5233
106	625	5223
107	631	5214
108	636	5203
109	641	5193
110	647	5185
111	652	5175
112	658	5166
113	663	5158
114	668	5148
115	674	5139
116	680	5135
117	686	5128
118	692	5129
119	698	5123
120	704	5117
121	710	5110
122	715	5102
123	721	5094
124	727	5089
125	732	5083
126	738	5079
127	744	5073
128	750	5068
129	756	5060
130	761	5051
131	766	5043
132	772	5036
133	778	5029
134	783	5020
135	790	5020
136	795	5012
137	801	5006
138	806	4996
139	811	4987
140	817	4979
141	822	4971
142	828	4962
143	834	4957
144	839	4949
145	844	4940
146	850	4935
147	856	4928
148	861	4921
149	866	4912
150	872	4904
151	877	4897
152	883	4889
153	888	4882
154	894	4875
155	899	4867
156	904	4858
157	910	4851
158	915	4843
159	920	4834
